Series_Title,Released_Year,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes
The Shawshank Redemption,1994,9.3,80,Frank Darabont,Tim Robbins,2343110
The Dark Knight,2008,9,84,Christopher_Nolan,Christian Bale,2303232
Inception,2010,8.8,74,Christopher_Nolan,Leonardo DiCaprio,2067042
Fight Club,1999,8.8,66,David Fincher,Brad Pitt,1854740
Pulp Fiction,1994,8.9,94,Quentin Tarantino,John Travolta,1826188
Forrest Gump,1994,8.8,82,Robert Zemeckis,Tom Hanks,1809221
The Matrix,1999,8.7,73,Lana Wachowski,Lilly Wachowski,1676426
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,Peter Jackson,Elijah Wood,1661481
The Lord of the Rings: The Return of the King,2003,8.9,94,Peter Jackson,Elijah Wood,1642758
The Godfather,1972,9.2,100,Francis Ford Coppola,Marlon Brando,1620367
The Dark Knight Rises,2012,8.4,78,Christopher_Nolan,Christian Bale,1516346
Interstellar,2014,8.6,74,Christopher_Nolan,Matthew McConaughey,1512360
The Lord of the Rings: The Two Towers,2002,8.7,87,Peter Jackson,Elijah Wood,1485555
Se7en,1995,8.6,65,David Fincher,Morgan Freeman,1445096
Django Unchained,2012,8.4,81,Quentin Tarantino,Jamie Foxx,1357682
Gladiator,2000,8.5,67,Ridley Scott,Russell Crowe,1341460
Batman Begins,2005,8.2,70,Christopher_Nolan,Christian Bale,1308302
The Silence of the Lambs,1991,8.6,85,Jonathan Demme,Jodie Foster,1270197
Inglourious Basterds,2009,8.3,69,Quentin Tarantino,Brad Pitt,1267869
The Avengers,2012,8,69,Joss Whedon,Robert Downey Jr.,1260806
Saving Private Ryan,1998,8.6,91,Steven Spielberg,Tom Hanks,1235804
Star Wars,1977,8.6,90,George Lucas,Mark Hamill,1231473
Schindler's List,1993,8.9,94,Steven Spielberg,Liam Neeson,1213505
The Prestige,2006,8.5,66,Christopher_Nolan,Christian Bale,1190259
The Departed,2006,8.5,85,Martin Scorsese,Leonardo DiCaprio,1189773
The Wolf of Wall Street,2013,8.2,75,Martin Scorsese,Leonardo DiCaprio,1187498
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82,Irvin Kershner,Mark Hamill,1159315
The Green Mile,1999,8.6,61,Frank Darabont,Tom Hanks,1147794
The Godfather: Part II,1974,9,90,Francis Ford Coppola,Al Pacino,1129952
Shutter Island,2010,8.2,63,Martin Scorsese,Leonardo DiCaprio,1129894
Memento,2000,8.4,80,Christopher_Nolan,Guy Pearce,1125712
Avatar,2009,7.8,83,James Cameron,Sam Worthington,1118998
American Beauty,1999,8.3,84,Sam Mendes,Kevin Spacey,1069738
Back to the Future,1985,8.5,87,Robert Zemeckis,Michael J. Fox,1058081
Titanic,1997,7.8,75,James Cameron,Leonardo DiCaprio,1046089
Guardians of the Galaxy,2014,8,76,James Gunn,Chris Pratt,1043455
Léon,1994,8.5,64,Luc Besson,Jean Reno,1035236
American History X,1998,8.5,62,Tony Kaye,Edward Norton,1034705
V for Vendetta,2005,8.2,62,James McTeigue,Hugo Weaving,1032749
Goodfellas,1990,8.7,90,Martin Scorsese,Robert De Niro,1020727
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,63,Gore Verbinski,Johnny Depp,1015122
Kill Bill: Vol. 1,2003,8.1,69,Quentin Tarantino,Uma Thurman,1000639
WALL·E,2008,8.4,95,Andrew Stanton,Ben Burtt,999790
Terminator 2: Judgment Day,1991,8.5,75,James Cameron,Arnold Schwarzenegger,995506
The Usual Suspects,1995,8.5,77,Bryan Singer,Kevin Spacey,991208
Braveheart,1995,8.3,68,Mel Gibson,Mel Gibson,959181
Star Wars: Episode VI - Return of the Jedi,1983,8.3,58,Richard Marquand,Mark Hamill,950470
Finding Nemo,2003,8.1,90,Andrew Stanton,Lee Unkrich,949565
The Lion King,1994,8.5,88,Roger Allers,Rob Minkoff,942045
Iron Man,2008,7.9,79,Jon Favreau,Robert Downey Jr.,939644
The Truman Show,1998,8.1,90,Peter Weir,Jim Carrey,939631
Joker,2019,8.5,59,Todd Phillips,Joaquin Phoenix,939252
Up,2009,8.2,88,Pete Docter,Bob Peterson,935507
Reservoir Dogs,1992,8.3,79,Quentin Tarantino,Harvey Keitel,918562
One Flew Over the Cuckoo's Nest,1975,8.7,83,Milos Forman,Jack Nicholson,918088
Eternal Sunshine of the Spotless Mind,2004,8.3,89,Michel Gondry,Jim Carrey,911664
The Sixth Sense,1999,8.1,64,M. Night Shyamalan,Bruce Willis,911573
Deadpool,2016,8,65,Tim Miller,Ryan Reynolds,902669
The Shining,1980,8.4,66,Stanley Kubrick,Jack Nicholson,898237
Toy Story,1995,8.3,95,John Lasseter,Tom Hanks,887429
Raiders of the Lost Ark,1981,8.4,85,Steven Spielberg,Harrison Ford,884112
Mad Max: Fury Road,2015,8.1,90,George Miller,Tom Hardy,882316
Jurassic Park,1993,8.1,68,Steven Spielberg,Sam Neill,867615
Good Will Hunting,1997,8.3,70,Gus Van Sant,Robin Williams,861606
Star Wars: Episode VII - The Force Awakens,2015,7.9,80,J.J. Abrams,Daisy Ridley,860823
Gone Girl,2014,8.1,79,David Fincher,Ben Affleck,859695
No Country for Old Men,2007,8.1,91,Ethan Coen,Joel Coen,856916
A Beautiful Mind,2001,8.2,72,Ron Howard,Russell Crowe,848920
Avengers: Infinity War,2018,8.4,68,Anthony Russo,Joe Russo,834477
Catch Me If You Can,2002,8.1,75,Steven Spielberg,Leonardo DiCaprio,832846
"Monsters, Inc.",2001,8.1,79,Pete Docter,David Silverman,815505
Avengers: Endgame,2019,8.4,78,Anthony Russo,Joe Russo,809955
The Terminator,1984,8,84,James Cameron,Arnold Schwarzenegger,799795
Slumdog Millionaire,2008,8,84,Danny Boyle,Loveleen Tandan,798882
Die Hard,1988,8.2,72,John McTiernan,Bruce Willis,793164
Alien,1979,8.4,89,Ridley Scott,Sigourney Weaver,787806
Snatch,2000,8.3,55,Guy Ritchie,Jason Statham,782001
Gravity,2013,7.7,96,Alfonso Cuarón,Sandra Bullock,769145
Requiem for a Dream,2000,8.3,68,Darren Aronofsky,Ellen Burstyn,766870
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85,David Yates,Daniel Radcliffe,764493
The Intouchables,2011,8.5,57,Olivier Nakache,Éric Toledano,760360
The Martian,2015,8,80,Ridley Scott,Matt Damon,760094
A Clockwork Orange,1971,8.3,77,Stanley Kubrick,Malcolm McDowell,757904
The Hobbit: An Unexpected Journey,2012,7.8,58,Peter Jackson,Martin Freeman,757377
Toy Story 3,2010,8.2,92,Lee Unkrich,Tom Hanks,757032
Scarface,1983,8.3,65,Brian De Palma,Al Pacino,740911
Donnie Darko,2001,8,88,Richard Kelly,Jake Gyllenhaal,740086
Sin City,2005,8,74,Frank Miller,Quentin Tarantino,738512
Captain America: The Winter Soldier,2014,7.7,70,Anthony Russo,Joe Russo,736182
300,2006,7.6,52,Zack Snyder,Gerard Butler,732876
The Big Lebowski,1998,8.1,71,Joel Coen,Ethan Coen,732620
The Pianist,2002,8.5,85,Roman Polanski,Adrien Brody,729603
Taxi Driver,1976,8.3,94,Martin Scorsese,Robert De Niro,724636
Gran Torino,2008,8.1,72,Clint Eastwood,Clint Eastwood,720450
Whiplash,2014,8.5,88,Damien Chazelle,Miles Teller,717585
The Hangover,2009,7.7,73,Todd Phillips,Zach Galifianakis,717559
The Grand Budapest Hotel,2014,8.1,88,Wes Anderson,Ralph Fiennes,707630
The Revenant,2015,8,76,Alejandro G. Iñárritu,Leonardo DiCaprio,705589
Amélie,2001,8.3,69,Jean-Pierre Jeunet,Audrey Tautou,703810
Black Swan,2010,8,79,Darren Aronofsky,Natalie Portman,699673
Cidade de Deus,2002,8.6,79,Fernando Meirelles,Kátia Lund,699256
Blade Runner,1982,8.1,84,Ridley Scott,Harrison Ford,693827
Indiana Jones and the Last Crusade,1989,8.2,65,Steven Spielberg,Harrison Ford,692366
12 Angry Men,1957,9,96,Sidney Lumet,Henry Fonda,689845
"Il buono, il brutto, il cattivo",1966,8.8,90,Sergio Leone,Clint Eastwood,688390
The Imitation Game,2014,8,73,Morten Tyldum,Benedict Cumberbatch,685201
Kill Bill: Vol. 2,2004,8,83,Quentin Tarantino,Uma Thurman,683900
Full Metal Jacket,1987,8.3,76,Stanley Kubrick,Matthew Modine,675146
How to Train Your Dragon,2010,8.1,75,Dean DeBlois,Chris Sanders,666773
Captain America: Civil War,2016,7.8,75,Anthony Russo,Joe Russo,663649
Silver Linings Playbook,2012,7.7,81,David O. Russell,Bradley Cooper,661871
X-Men: Days of Future Past,2014,7.9,75,Bryan Singer,Patrick Stewart,659763
Harry Potter and the Sorcerer's Stone,2001,7.6,64,Chris Columbus,Daniel Radcliffe,658185
The Incredibles,2004,8,90,Brad Bird,Craig T. Nelson,657047
Aliens,1986,8.3,84,James Cameron,Sigourney Weaver,652719
Sen to Chihiro no kamikakushi,2001,8.6,96,Hayao Miyazaki,Daveigh Chase,651376
Logan,2017,8.1,77,James Mangold,Hugh Jackman,647884
X: First Class,2011,7.7,65,Matthew Vaughn,James McAvoy,645512
Ratatouille,2007,8,96,Brad Bird,Jan Pinkava,641645
12 Years a Slave,2013,8.1,96,Steve McQueen,Chiwetel Ejiofor,640533
The King's Speech,2010,8,88,Tom Hooper,Colin Firth,639603
District 9,2009,7.9,81,Neill Blomkamp,Sharlto Copley,638202
Million Dollar Baby,2004,8.1,86,Clint Eastwood,Hilary Swank,635975
Trainspotting,1996,8.1,83,Danny Boyle,Ewan McGregor,634716
Skyfall,2012,7.7,81,Sam Mendes,Daniel Craig,630614
The Social Network,2010,7.7,95,David Fincher,Jesse Eisenberg,624982
La vita è bella,1997,8.6,59,Roberto Benigni,Roberto Benigni,623629
Pan's Labyrinth,2006,8.2,98,Guillermo del Toro,Ivana Baquero,618623
Fargo,1996,8.1,85,Joel Coen,Ethan Coen,617444
Inside Out,2015,8.1,94,Pete Docter,Ronnie Del Carmen,616228
Shrek,2001,7.8,84,Andrew Adamson,Vicky Jenson,613941
Apocalypse Now,1979,8.4,94,Francis Ford Coppola,Martin Sheen,606398
The Bourne Ultimatum,2007,8,85,Paul Greengrass,Matt Damon,604694
Psycho,1960,8.5,97,Alfred Hitchcock,Anthony Perkins,604211
2001: A Space Odyssey,1968,8.3,84,Stanley Kubrick,Keir Dullea,603517
The Hobbit: The Desolation of Smaug,2013,7.8,66,Peter Jackson,Ian McKellen,601408
Prisoners,2013,8.1,70,Denis Villeneuve,Hugh Jackman,601149
Edge of Tomorrow,2014,7.9,71,Doug Liman,Tom Cruise,600004
Arrival,2016,7.9,81,Denis Villeneuve,Amy Adams,594181
Kingsman: The Secret Service,2014,7.7,60,Matthew Vaughn,Colin Firth,590440
The Curious Case of Benjamin Button,2008,7.8,70,David Fincher,Brad Pitt,589160
Thor: Ragnarok,2017,7.9,74,Taika Waititi,Chris Hemsworth,587775
Sherlock Holmes,2009,7.6,57,Guy Ritchie,Robert Downey Jr.,583158
Casino Royale,2006,8,80,Martin Campbell,Daniel Craig,582239
Life of Pi,2012,7.9,79,Ang Lee,Suraj Sharma,580708
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,Alejandro G. Iñárritu,Michael Keaton,580291
Twelve Monkeys,1995,8,74,Terry Gilliam,Bruce Willis,578443
Groundhog Day,1993,8,72,Harold Ramis,Bill Murray,577991
Star Trek,2009,7.9,82,J.J. Abrams,Chris Pine,577336
Heat,1995,8.2,76,Michael Mann,Al Pacino,577113
Into the Wild,2007,8.1,73,Sean Penn,Emile Hirsch,572921
Argo,2012,7.7,86,Ben Affleck,Ben Affleck,572581
Drive,2011,7.8,78,Nicolas Winding Refn,Ryan Gosling,571571
Guardians of the Galaxy Vol. 2,2017,7.6,67,James Gunn,Chris Pratt,569974
Taken,2008,7.8,51,Pierre Morel,Liam Neeson,564791
Rogue One,2016,7.8,65,Gareth Edwards,Felicity Jones,556608
Dunkirk,2017,7.8,94,Christopher_Nolan,Fionn Whitehead,555092
Gisaengchung,2019,8.6,96,Bong Joon Ho,Kang-ho Song,552778
Harry Potter and the Prisoner of Azkaban,2004,7.9,82,Alfonso Cuarón,Daniel Radcliffe,552493
Once Upon a Time... in Hollywood,2019,7.6,83,Quentin Tarantino,Leonardo DiCaprio,551309
Harry Potter and the Goblet of Fire,2005,7.7,81,Mike Newell,Daniel Radcliffe,548619
Jaws,1975,8,87,Steven Spielberg,Roy Scheider,543388
Her,2013,8,90,Spike Jonze,Joaquin Phoenix,540772
"Lock, Stock and Two Smoking Barrels",1998,8.2,66,Guy Ritchie,Jason Flemyng,535216
L.A. Confidential,1997,8.2,90,Curtis Hanson,Kevin Spacey,531967
Toy Story 2,1999,7.9,88,John Lasseter,Ash Brannon,527512
Cast Away,2000,7.8,73,Robert Zemeckis,Tom Hanks,524235
Kick-Ass,2010,7.6,66,Matthew Vaughn,Aaron Taylor-Johnson,524081
Casablanca,1942,8.5,100,Michael Curtiz,Humphrey Bogart,522093
The Notebook,2004,7.8,53,Nick Cassavetes,Gena Rowlands,520284
Zombieland,2009,7.6,73,Ruben Fleischer,Jesse Eisenberg,520041
Rocky,1976,8.1,70,John G. Avildsen,Sylvester Stallone,518546
There Will Be Blood,2007,8.2,93,Paul Thomas Anderson,Daniel Day-Lewis,517359
The Hateful Eight,2015,7.8,68,Quentin Tarantino,Samuel L. Jackson,517059
Ocean's Eleven,2001,7.7,74,Steven Soderbergh,George Clooney,516372
Oldeuboi,2003,8.4,77,Chan-wook Park,Choi Min-sik,515451
Shaun of the Dead,2004,7.9,76,Edgar Wright,Simon Pegg,512249
The Bourne Identity,2002,7.9,68,Doug Liman,Franka Potente,508771
Minority Report,2002,7.6,80,Steven Spielberg,Tom Cruise,508417
La La Land,2016,8,94,Damien Chazelle,Ryan Gosling,505918
Monty Python and the Holy Grail,1975,8.2,91,Terry Gilliam,Terry Jones,500875
Despicable Me,2010,7.6,72,Pierre Coffin,Chris Renaud,500851
Watchmen,2009,7.6,56,Zack Snyder,Jackie Earle Haley,500799
Blood Diamond,2006,8,64,Edward Zwick,Leonardo DiCaprio,499439
Get Out,2017,7.7,85,Jordan Peele,Daniel Kaluuya,492851
American Psycho,2000,7.6,64,Mary Harron,Christian Bale,490062
Home Alone,1990,7.6,63,Chris Columbus,Macaulay Culkin,488817
Back to the Future Part II,1989,7.8,57,Robert Zemeckis,Michael J. Fox,481918
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,David Yates,Daniel Radcliffe,479120
Deadpool 2,2018,7.7,66,David Leitch,Ryan Reynolds,478586
Harry Potter and the Half-Blood Prince,2009,7.6,78,David Yates,Daniel Radcliffe,474827
Ex Machina,2014,7.7,78,Alex Garland,Alicia Vikander,474141
Rain Man,1988,8,65,Barry Levinson,Dustin Hoffman,473064
(500) Days of Summer,2009,7.7,76,Marc Webb,Zooey Deschanel,472242
Casino,1995,8.2,73,Martin Scorsese,Robert De Niro,466276
Nightcrawler,2014,7.9,76,Dan Gilroy,Jake Gyllenhaal,466134
Zodiac,2007,7.7,78,David Fincher,Jake Gyllenhaal,466080
Children of Men,2006,7.9,84,Alfonso Cuarón,Julianne Moore,465113
Hot Fuzz,2007,7.8,81,Edgar Wright,Simon Pegg,463466
Star Trek Into Darkness,2013,7.7,72,J.J. Abrams,Chris Pine,463188
The Perks of Being a Wallflower,2012,8,67,Stephen Chbosky,Logan Lerman,462252
Blade Runner 2049,2017,8,81,Denis Villeneuve,Harrison Ford,461823
Knives Out,2019,7.9,82,Rian Johnson,Daniel Craig,454203
The Butterfly Effect,2004,7.6,30,Eric Bress,J. Mackye Gruber,451479
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97,Stanley Kubrick,Peter Sellers,450474
Bohemian Rhapsody,2018,8,49,Bryan Singer,Rami Malek,450349
The Pursuit of Happyness,2006,8,64,Gabriele Muccino,Will Smith,448930
Edward Scissorhands,1990,7.9,74,Tim Burton,Johnny Depp,447368
Rear Window,1954,8.4,100,Alfred Hitchcock,James Stewart,444074
Dallas Buyers Club,2013,8,80,Jean-Marc Vallée,Matthew McConaughey,441614
Little Miss Sunshine,2006,7.8,80,Jonathan Dayton,Valerie Faris,439856
Baby Driver,2017,7.6,86,Edgar Wright,Ansel Elgort,439406
Warrior,2011,8.2,71,Gavin O'Connor,Tom Hardy,435950
Hacksaw Ridge,2016,8.1,71,Mel Gibson,Andrew Garfield,435928
The Bourne Supremacy,2004,7.7,73,Paul Greengrass,Matt Damon,434841
Zootopia,2016,8,78,Byron Howard,Rich Moore,434143
The Fifth Element,1997,7.7,52,Luc Besson,Bruce Willis,434125
Rush,2013,8.1,74,Ron Howard,Daniel Brühl,432811
"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,Martin McDonagh,Frances McDormand,432610
The Help,2011,8,62,Tate Taylor,Emma Stone,428521
1917,2019,8.3,78,Sam Mendes,Dean-Charles Chapman,425844
Dead Poets Society,1989,8.1,79,Peter Weir,Robin Williams,425457
The Girl with the Dragon Tattoo,2011,7.8,71,David Fincher,Daniel Craig,423010
Captain Phillips,2013,7.8,82,Paul Greengrass,Tom Hanks,421244
Spotlight,2015,8.1,93,Tom McCarthy,Mark Ruffalo,420316
Crash,2004,7.7,66,Paul Haggis,Don Cheadle,419483
Mystic River,2003,7.9,84,Clint Eastwood,Sean Penn,419420
Beauty and the Beast,1991,8,95,Gary Trousdale,Kirk Wise,417178
Big Fish,2003,8,58,Tim Burton,Ewan McGregor,415218
Lost in Translation,2003,7.7,89,Sofia Coppola,Bill Murray,415074
Dawn of the Planet of the Apes,2014,7.6,79,Matt Reeves,Gary Oldman,411599
Big Hero 6,2014,7.8,74,Don Hall,Chris Williams,410983
Tangled,2010,7.7,71,Nathan Greno,Byron Howard,405922
It's a Wonderful Life,1946,8.6,89,Frank Capra,James Stewart,405801
The Theory of Everything,2014,7.7,72,James Marsh,Eddie Redmayne,404182
Citizen Kane,1941,8.3,100,Orson Welles,Orson Welles,403351
The Last Samurai,2003,7.7,55,Edward Zwick,Tom Cruise,400049
The Princess Bride,1987,8,77,Rob Reiner,Cary Elwes,393899
American Gangster,2007,7.8,76,Ridley Scott,Denzel Washington,392449
In Bruges,2008,7.9,67,Martin McDonagh,Colin Farrell,390334
Training Day,2001,7.7,69,Antoine Fuqua,Denzel Washington,390247
Midnight in Paris,2011,7.7,81,Woody Allen,Owen Wilson,388089
Coco,2017,8.4,81,Lee Unkrich,Adrian Molina,384171
Platoon,1986,8.1,92,Oliver Stone,Charlie Sheen,381222
Wreck-It Ralph,2012,7.7,72,Rich Moore,John C. Reilly,380195
Saw,2004,7.6,46,James Wan,Cary Elwes,379020
Green Book,2018,8.2,69,Peter Farrelly,Viggo Mortensen,377884
28 Days Later...,2002,7.6,73,Danny Boyle,Cillian Murphy,376853
Unforgiven,1992,8.2,85,Clint Eastwood,Clint Eastwood,375935
Spider-Man: Into the Spider-Verse,2018,8.4,87,Bob Persichetti,Peter Ramsey,375110
Aladdin,1992,8,86,Ron Clements,John Musker,373845
E.T. the Extra-Terrestrial,1982,7.8,91,Steven Spielberg,Henry Thomas,372490
Room,2015,8.1,86,Lenny Abrahamson,Brie Larson,371538
Predator,1987,7.8,45,John McTiernan,Arnold Schwarzenegger,371387
The Wizard of Oz,1939,8,92,Victor Fleming,George Cukor,371379
Sicario,2015,7.6,82,Denis Villeneuve,Emily Blunt,371291
The Thing,1982,8.1,57,John Carpenter,Kurt Russell,371271
Moneyball,2011,7.6,87,Bennett Miller,Brad Pitt,369529
Amadeus,1984,8.3,88,Milos Forman,F. Murray Abraham,369007
Life of Brian,1979,8.1,77,Terry Jones,Graham Chapman,367250
Die Hard: With a Vengeance,1995,7.6,58,John McTiernan,Bruce Willis,364420
Vertigo,1958,8.3,100,Alfred Hitchcock,James Stewart,364368
Black Hawk Down,2001,7.7,74,Ridley Scott,Josh Hartnett,364254
Stand by Me,1986,8.1,75,Rob Reiner,Wil Wheaton,363401
The Big Short,2015,7.8,81,Adam McKay,Christian Bale,362942
The Exorcist,1973,8,81,William Friedkin,Ellen Burstyn,362393
The Godfather: Part III,1990,7.6,60,Francis Ford Coppola,Al Pacino,359809
The Lives of Others,2006,8.4,89,Florian Henckel von Donnersmarck,Ulrich Mühe,358685
The Machinist,2004,7.7,61,Brad Anderson,Christian Bale,358432
The Breakfast Club,1985,7.8,66,John Hughes,Emilio Estevez,357026
Ghostbusters,1984,7.8,71,Ivan Reitman,Bill Murray,355413
The Illusionist,2006,7.6,68,Neil Burger,Edward Norton,354728
The Game,1997,7.8,61,David Fincher,Michael Douglas,345096
3 Idiots,2009,8.4,67,Rajkumar Hirani,Aamir Khan,344445
The Fault in Our Stars,2014,7.7,69,Josh Boone,Shailene Woodley,344312
Mononoke-hime,1997,8.4,76,Hayao Miyazaki,Yôji Matsuda,343171
The Fighter,2010,7.8,79,David O. Russell,Mark Wahlberg,340584
